ARTICLENO,PUBLICATION,DATE,HEADLINE,BYLINE,SECTION,LENGTH,DATELINE,URL,GRAPHIC,LANGUAGE,PUBLICATION-TYPE,SUBJECT,COMPANY,ORGANIZATION,PERSON,CITY,COUNTRY,REGION,LOAD-DATE,SENTENCENO,SENTENCE,SOURCE,REPORTEDVERB,NOWORDS
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,1,"A 27-year-old former Taliban fighter who recently embarrassed the Pakistani Army and became one of the country's best-known and most-wanted militants was killed in a missile strike on Thursday night, Pakistani military officials said",Pakistani military officials,said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,2,"Local residents said they believed that a missile fired from an American drone killed the militant, Nek Muhammad, after he spoke over a satellite phone",Local residents,said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,3,But Pakistani military officials denied any American involvement,Pakistani military officials denied,denied,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,4,"Maj. Gen. Shaukat Sultan, the chief spokesman for the Pakistani military, said Friday that Pakistani forces had been tracking Mr. Muhammad for several days","Maj. Gen. Shaukat Sultan, the chief spokesman for the Pakistani military",said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,5,"The general declined to say exactly how Mr. Muhammad was killed, but said Pakistani helicopters and artillery were both capable of striking a compound with pinpoint accuracy",The general ,said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,6,He said reports of American involvement were ''absolutely absurd.'',The general ,said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,7,General Sultan said the killing of Mr. Muhammad was a major victory in the government's campaign against terrorism,General Sultan said,,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,8,"Government officials had accused Mr. Muhammad of sheltering foreign militants, and he appeared to toy with, and embarrass, the Pakistani Army during a series of negotiations this spring",Government officials,accused,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,9,"'This sends a good message,'' said General Sultan, who appeared visibly pleased with the news of Mr. Muhammad's death. ''The government is serious. The government means business.''",General Sultan,said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,10,"The general said 60 to 70 militants, most of whom were believed to be Uzbeks, had been killed in recent fighting. ",The general ,said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,11,"About 20 Pakistani Army troops had also been killed, he said",The general ,said,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,12,An anonymous caller to a journalist for the British Broadcasting Corporation in Peshawar vowed retaliatory strikes against the government,An anonymous caller to a journalist for the British Broadcasting Corporation in Peshawar,vowed,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,13,"Thousands of people attended Mr. Muhammad's funeral, which was held in his nearby hometown of Kaloosha",,,
1,The New York Times,6/19/2004,Ex-Fighter For Taliban Dies in Strike In Pakistan,"By DAVID ROHDE and MOHAMMED KHAN; David Rohde reported from Rawalpindi for this article, and Mohammed Khan from Peshawar",Section A; Column 1; Foreign Desk; THE REACH OF WAR: MILITANTS; Pg. 6,633 words,"RAWALPINDI, Pakistan, June 18",http://www.nytimes.com,"Photo: The body of Nek Muhammad, one of Pakistan's most-wanted militants, at his funeral on Friday. The former Taliban fighter, who had been accused of sheltering foreign militants, was killed Thursday in a missile strike. (Photo by Associated Press)",ENGLISH,Newspaper,"ARMIES (93%); DEATHS &amp; OBITUARIES (92%); DEFENSE ELECTRONICS (90%); MISSILE SYSTEMS (90%); MILITARY WEAPONS (90%); BOMBINGS (90%); TALIBAN (90%); TERRORISM (89%); ARMED FORCES (89%); JOURNALISM (88%); TERRORIST ORGANIZATIONS (78%); WAR ON TERROR (78%); TERRORIST ATTACKS (78%); ARTILLERY &amp; ORDNANCE (78%); MISSILE DEFENSE SYSTEMS (77%); PARAMILITARY &amp; MILITIA (77%); COUNTERTERRORISM (73%); AGREEMENTS (73%); PUBLIC BROADCASTING (67%); RELIGION (60%); HELICOPTERS (54%)</SPAN><SPAN CLASS=""c2"">&nbsp;</SPAN><SPAN CLASS=""c2"">Terrorism; Missiles and Missile Defense Systems; United States International Relations; United States Armament and Defense; Armament, Defense and Military Forces",BRITISH BROADCASTING CORP (66%),Taliban (Afghan Group),David Rohde; Mohammed Khan; Nek Muhammad; Shaukat (Maj Gen) Sultan,"KARACHI,PAKISTAN (78%)",PAKISTAN (94%); AFGHANISTAN (92%),Pakistan,6/19/2004,14,"The former Taliban fighter, whose jet-black, shoulder-length hair and thick beard gave him the look of a revolutionary, had been in hiding since the Pakistani Army began an operation last week in the tribal areas, government officials said",government officials,said,